# File: A271.freight_coef.csv
# Title: Coefficients of freight inputs to energy and ag commodities
# Units: million tkm per EJ = ton-meters per GJ
# Comments: price-unit-conversion takes into account the following:
#  (1) transportation output unit is 1e6 times the price unit denominator whereas all other sectors are 1e9.
#  (2) transportation price unit is 1990$ whereas others are 1975$.
#  (3) trn_freight costs are 17x higher than rail mode (the dominant mode for some of these fuels). Some de-rating is appropriate.
# Note: the methods are not set up to handle different tkm inputs for different refined liquid fuel commodities (e.g., ref liq industrial, ref liq enduse need to have the same coef in each region)
# Column types: cccccnnnnnn
# ----------
region,supplysector,subsector,technology,minicam.energy.input,price.unit.conversion,1971,1990,2000,2010,2100
USA,traded misccrop,Argentina traded misccrop,Argentina traded misccrop,trn_shipping_intl,0.00045208,1000,2000,2000,2000,2000
USA,traded misccrop,Australia_NZ traded misccrop,Australia_NZ traded misccrop,trn_freight,3.62E-05,300,300,300,300,300
USA,traded misccrop,Australia_NZ traded misccrop,Australia_NZ traded misccrop,trn_shipping_intl,0.00045208,2500,2500,2500,2500,2500
USA,traded misccrop,Brazil traded misccrop,Brazil traded misccrop,trn_freight,3.62E-05,300,300,300,300,300
USA,traded misccrop,Brazil traded misccrop,Brazil traded misccrop,trn_shipping_intl,0.00045208,3000,3000,3000,3000,3000
USA,traded misccrop,Canada traded misccrop,Canada traded misccrop,trn_freight,3.62E-05,300,300,300,300,300
USA,traded misccrop,Canada traded misccrop,Canada traded misccrop,trn_shipping_intl,0.00045208,1000,1000,1000,1000,1000
USA,traded misccrop,Central America and Caribbean traded misccrop,Central America and Caribbean traded misccrop,trn_freight,3.62E-05,300,300,300,300,300
USA,traded misccrop,Central America and Caribbean traded misccrop,Central America and Caribbean traded misccrop,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded misccrop,Central Asia traded misccrop,Central Asia traded misccrop,trn_freight,3.62E-05,300,300,300,300,300
USA,traded misccrop,China traded misccrop,China traded misccrop,trn_freight,3.62E-05,300,300,300,300,300
USA,traded misccrop,China traded misccrop,China traded misccrop,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded misccrop,Colombia traded misccrop,Colombia traded misccrop,trn_freight,3.62E-05,300,300,300,300,300
USA,traded misccrop,Colombia traded misccrop,Colombia traded misccrop,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded misccrop,EU-12 traded misccrop,EU-12 traded misccrop,trn_freight,3.62E-05,300,300,300,300,300
USA,traded misccrop,EU-12 traded misccrop,EU-12 traded misccrop,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded misccrop,EU-15 traded misccrop,EU-15 traded misccrop,trn_freight,3.62E-05,300,300,300,300,300
USA,traded misccrop,EU-15 traded misccrop,EU-15 traded misccrop,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded misccrop,Europe_Eastern traded misccrop,Europe_Eastern traded misccrop,trn_freight,3.62E-05,300,300,300,300,300
USA,traded misccrop,Europe_Eastern traded misccrop,Europe_Eastern traded misccrop,trn_shipping_intl,0.00045208,3000,0,3000,3000,3000
